nombre,lat,lng,poblacion,area,region
Mejillones,-23.0985013,-70.4455041,9752,3803.9,Antofagasta
Melipeuco,-38.852306,-71.6929428,5451,1107.3,La Araucanía
Melipilla,-33.6861588,-71.2166838,107698,1345,Metropolitana de Santiago
Molina,-35.1164987,-71.2829759,40329,1552,Maule
Monte Patria,-30.6978944,-70.9586889,30137,4366.9,Coquimbo
Mostazal,-26.6833,-69.5833,23430,524,'Libertador General Bernardo O''Higgins'
Mulchén,-37.7178812,-72.2374343,28517,1925.3,Biobío
Nancagua,-34.6523209,-71.1968597,18921,111,'Libertador General Bernardo O''Higgins'
Natales,-51.733333,-72.516667,21327,49924.1,Magallanes y de la Antártica Chilena
Navidad,-33.9593954,-71.8295188,5650,300,'Libertador General Bernardo O''Higgins'
Negrete,-37.5862531,-72.5320562,8933,156.5,Biobío
Ninhue,-36.4,-72.4,5278,401.2,Biobío
Ñiquen,-36.3,-71.9,10063,493.1,Biobío
Nogales,-32.7333,-71.2042115,26385,405,Valparaiso
Nueva Imperial,-38.7445218,-72.9482281,32109,732.5,La Araucanía
Ñuñoa,-33.4566678,-70.5978415,195410,16.9,Metropolitana de Santiago
O'higgins,-34.5755374,-71.0022311,700,8182.5,Aisén del General Carlos Ibáñez del Campo
Olivar,-34.233,-70.883,13483,45,'Libertador General Bernardo O''Higgins'
Olmué,-32.9981387,-71.1892783,16243,232,Valparaiso
Osorno,-40.5761897,-73.1149469,153797,951,Los Lagos
Ovalle,-30.604304,-71.1969882,112956,3835,Coquimbo
Padre Hurtado,-33.5749687,-70.8149905,50696,80.8,Metropolitana de Santiago
Padre Las Casas,-38.7667,-72.6,72135,400.7,La Araucanía
Paihuano,-30.0276898,-70.5178142,4252,1495,Coquimbo
Paillaco,-40.0684279,-72.8748414,19898,896,Los Ríos
Paine,-33.8125656,-70.7375968,66512,820,Metropolitana de Santiago
Palena,-43.6167,-71.8,1665,2763.7,Los Lagos
Palmilla,-34.5774223,-71.380135,12373,237,'Libertador General Bernardo O''Higgins'
Panguipulli,-39.6436316,-72.3364942,35185,3292,Los Ríos
Panquehue,-32.7670303,-70.8333,7569,121.9,Valparaiso
Papudo,-32.5072087,-71.4485013,5643,64.2,Valparaiso
Paredones,-34.6519651,-71.9001448,6802,562,'Libertador General Bernardo O''Higgins'
Parral,-36.1399593,-71.8244406,39404,1638,Maule
Pedro Aguirre Cerda,-33.4940901,-70.6765026,104018,10,Metropolitana de Santiago
Pelarco,-35.3838823,-71.447192,7959,332,Maule
Pelluhue,-35.8141512,-72.5749979,6636,371,Maule
Pemuco,-36.9667,-72.1,9120,562.7,Biobío
Peñaflor,-33.6060255,-70.8781837,87741,69,Metropolitana de Santiago
Peñalolén,-33.4719116,-70.5627854,249621,54,Metropolitana de Santiago
Pencahue,-35.3960652,-71.7974563,9187,956.8,Maule
Penco,-36.7333,-72.9833,52389,107.6,Biobío
Peralillo,-34.4772681,-71.487259,10933,282.6,'Libertador General Bernardo O''Higgins'
Perquenco,-38.4161093,-72.3756218,6911,330.7,La Araucanía
Petorca,-32.25,-70.9333,10074,11.6,Valparaiso
Peumo,-34.3963392,-71.1700793,14158,153.1,'Libertador General Bernardo O''Higgins'
Pica,-20.489483,-69.330511,4194,8934.3,Tarapacá
Pichidegua,-34.3573785,-71.2872596,18637,320,'Libertador General Bernardo O''Higgins'
Pichilemu,-34.3867245,-72.0047731,13916,749.1,'Libertador General Bernardo O''Higgins'
