nombre,id,lat,lng,region,cantidadElas,poblacion
"Puchuncaví",5105,-32.722005,-71.4117004,"Región de Valparaiso",11,16371
"Pucón",9115,-39.2722541,-71.9776285,"Región de La Araucanía",18,29987
"Pudahuel",13124,-33.4421135,-70.7640644,"Santiago",66,225509
"Puente Alto",13201,-33.6186082,-70.5906057,"Santiago",434,757721
"Puerto Montt",10101,-41.468917,-72.9411364,"Región de Los Lagos",194,248945
"Puerto Octay",10302,-40.9768373,-72.8819616,"Región de Los Lagos",6,9480
"Puerto Varas",10109,-41.3167,-72.9833,"Región de Los Lagos",38,39414
"Pumanque",6309,-34.6026565,-71.6552933,"Región de O'Higgins",3,3458
"Punitaqui",4304,-30.8260995,-71.2577912,"Región de Coquimbo",7,10418
"Punta Arenas",12101,-53.1638329,-70.9170683,"Región de Magallanes",198,125483
"Puqueldón",10206,-42.6014407,-73.6714848,"Región de Los Lagos",2,4097
"Purén",9208,-38.0326817,-73.0718283,"Región de La Araucanía",7,11789
"Purranque",10303,-40.9084312,-73.1661093,"Región de Los Lagos",23,20768
"Putaendo",5705,-32.628461,-70.7177434,"Región de Valparaiso",10,17369
"Putre",15201,-18.1969907,-69.5597273,"Región de Arica y Parinacota",6,1462
"Puyehue",10304,-40.6607937,-72.6131562,"Región de Los Lagos",17,11370
"Quellón",10208,-43.1169327,-73.6138821,"Región de Los Lagos",20,30964
"Quilaco",8308,-37.6875544,-71.9986626,"Región de Biobío",2,3722
"Quilicura",13125,-33.3576747,-70.7292718,"Santiago",70,203946
"Quillón",8413,-36.7338906,-72.4602031,"Región de Biobío",7,15525
"Quillota",5501,-32.8803027,-71.2497156,"Región de Valparaiso",77,88803
"Quilpué",5801,-33.0482707,-71.4408752,"Región de Valparaiso",109,162320
"Quinchao",10210,-42.5381325,-73.4187729,"Región de Los Lagos",7,9043
"Quinta de Tilcoco",6114,-34.3554003,-70.9704681,"Región de O'Higgins",12,12144
"Quinta Normal",13126,-33.4317378,-70.6923917,"Santiago",189,101737
"Quintero",5107,-32.7723101,-71.5333,"Región de Valparaiso",14,28066
"Quirihue",8414,-36.2832999,-72.5333,"Región de Biobío",8,11851
"Rancagua",6101,-34.1701324,-70.7406259,"Región de O'Higgins",190,250638
"Ránquil",8415,-36.652566,-72.5972962,"Región de Biobío",1,4983
"Rauco",7305,-34.9253441,-71.3156315,"Región de Maule",9,9878
"Recoleta",13127,-33.3972075,-70.6428148,"Santiago",287,152985
"Renca",13128,-33.4063601,-70.7279965,"Santiago",47,142136
"Rengo",6115,-34.4023791,-70.8674411,"Región de O'Higgins",25,56188
"Requínoa",6116,-34.2883749,-70.815833,"Región de O'Higgins",21,26235
"Rinconada",5303,-32.8352416,-70.7010367,"Región de Valparaiso",6,8097
"Río Bueno",14204,-40.3313422,-72.9485366,"Región de Los Ríos",24,31343
"Río Claro",7108,-35.2808267,-71.2599507,"Región de Maule",3,13020
"Río Hurtado",4305,-30.266667,-70.666667,"Región de Coquimbo",12,4149
"Río Ibáñez",11402,-46.3,-71.933333,"Región de Aisén",7,2208
"Río Negro",10305,-40.7832999,-73.2333,"Región de Los Lagos",11,13425
"Romeral",7306,-34.9622896,-71.1319939,"Región de Maule",22,14460
"Saavedra",9116,-38.7832999,-73.4,"Región de La Araucanía",7,13481
"Sagrada Familia",7307,-34.9984205,-71.3445822,"Región de Maule",4,17839
"Salamanca",4204,-31.782493,-70.9607105,"Región de Coquimbo",32,25671
"San Antonio",5601,-33.5922807,-71.6055123,"Región de Valparaiso",67,87697
"San Bernardo",13401,-33.6005906,-70.7060687,"Santiago",112,277802
"San Carlos",8416,-36.42615,-71.9708343,"Región de Biobío",26,51335
"San Clemente",7109,-35.5364676,-71.4893705,"Región de Maule",23,39554
"San Esteban",5304,-32.8004995,-70.5798032,"Región de Valparaiso",10,17371
"San Fabián",8417,-36.55,-71.55,"Región de Biobío",2,3503
"San Felipe",5701,-32.75,-70.7208115,"Región de Valparaiso",75,72121
"San Fernando",6301,-34.5858603,-70.9907801,"Región de O'Higgins",65,75221
"San Ignacio",8418,-36.533333,-72.433333,"Región de Biobío",5,15770
"San Javier",7406,-35.5930962,-71.7325021,"Región de Maule",55,40881
"San Joaquín",13129,-33.496202,-70.6283361,"Santiago",70,94255
"San José de Maipo",13203,-33.643169,-70.345207,"Santiago",26,14455
"San Juan de la Costa",10306,-40.516667,-73.4,"Región de Los Lagos",14,7997
"San Miguel",13130,-33.4923545,-70.651797,"Santiago",140,90846
"San Nicolás",8419,-36.5,-72.2167,"Región de Biobío",12,10051
"San Pablo",10307,-40.4124926,-73.0124926,"Región de Los Lagos",10,9150
"San Pedro",13505,-33.8950912,-71.4563779,"Santiago",4,8062
"San Pedro de Atacama",2203,-22.9087073,-68.1997156,"Región de Antofagasta",4,5605
"San Pedro de La Paz",8108,-36.8305354,-73.1167368,"Región de Biobío",45,94827
"San Rafael",7110,-35.3074574,-71.5234986,"Región de Maule",13,8512
"San Ramón",13131,-33.538901,-70.6424989,"Santiago",54,85195
"San Rosendo",8310,-37.2620301,-72.7231119,"Región de Biobío",2,3627
"San Vicente de Tagua Tagua",6117,-34.433891,-71.078598,"Región de O'Higgins",26,47716
"Santa Bárbara",8311,-37.6667,-72.0167,"Región de Biobío",8,14612
"Santa Cruz",6310,-34.6324213,-71.3592116,"Región de O'Higgins",28,35255
"Santa Juana",8109,-37.1749687,-72.9457031,"Región de Biobío",6,13331
"Santa María",5706,-32.7470027,-70.6587073,"Región de Valparaiso",9,14504
"Santiago",13101,-33.4488897,-70.6692655,"Santiago",1051,237369
"Santo Domingo",5606,-33.635833,-71.628056,"Región de Valparaiso",7,9205
"Sierra Gorda",2103,-22.8860128,-69.3171995,"Región de Antofagasta",1,1206
"Talagante",13601,-33.6637468,-70.9273937,"Santiago",32,78887
"Talca",7101,-35.4232444,-71.6484804,"Región de Maule",203,264842
"Talcahuano",8110,-36.7247834,-73.1169808,"Región de Biobío",54,171673
"Taltal",2104,-25.406494,-70.4803027,"Región de Antofagasta",5,13493
"Temuco",9101,-38.7359018,-72.5903739,"Región de La Araucanía",288,269992
"Teno",7308,-34.8702993,-71.1664033,"Región de Maule",14,28228
"Teodoro Schmidt",9117,-38.9991844,-73.0942969,"Región de La Araucanía",11,15793
"Tierra Amarilla",3103,-27.4671706,-70.2652196,"Región de Atacama",17,13912
