nombre,id,lat,lng,region,cantidadElas,poblacion
"Tiltil",13303,-33.0838906,-70.9279843,"Santiago",18,16405
"Timaukel",12303,-54.294722,-69.1675,"Región de Magallanes",1,873
"Tirúa",8207,-38.3419149,-73.495516,"Región de Biobío",2,10859
"Tocopilla",2301,-22.0857976,-70.1930064,"Región de Antofagasta",16,20091
"Toltén",9118,-39.2043263,-73.2077436,"Región de La Araucanía",6,10403
"Tomé",8111,-36.6131562,-72.9588593,"Región de Biobío",22,55764
"Tortel",11303,-47.8015353,-73.5358494,"Región de Aisén",3,531
"Traiguén",9210,-38.25,-72.6833,"Región de La Araucanía",14,18357
"Treguaco",8420,-36.4211406,-72.6605937,"Región de Biobío",8,4995
"Tucapel",8312,-37.2923048,-71.9512186,"Región de Biobío",6,13442
"Valdivia",14101,-39.8173788,-73.2425333,"Región de Los Ríos",198,163148
"Vallenar",3301,-28.5757953,-70.7571009,"Región de Atacama",42,52099
"Valparaíso",5101,-33.047238,-71.6126885,"Región de Valparaiso",354,308137
"Vichuquén",7309,-34.8837446,-71.9953972,"Región de Maule",7,4335
"Victoria",9211,-38.2326538,-72.3515084,"Región de La Araucanía",18,33127
"Vicuña",4106,-30.0319,-70.7081,"Región de Coquimbo",13,26029
"Vilcún",9119,-38.6677187,-72.2244406,"Región de La Araucanía",15,23823
"Villa Alegre",7407,-35.6761961,-71.7439129,"Región de Maule",7,15428
"Villa Alemana",5804,-33.0516935,-71.3906234,"Región de Valparaiso",68,135368
"Villarrica",9120,-39.2820124,-72.2307798,"Región de La Araucanía",31,56178
"Viña del Mar",5109,-33.0153481,-71.5500276,"Región de Valparaiso",252,311399
"Vitacura",13132,-33.3905211,-70.5724124,"Santiago",192,84195
"Yerbas Buenas",7408,-35.750077,-71.5837328,"Región de Maule",9,17158
"Yumbel",8313,-37.0833,-72.5667,"Región de Biobío",10,20572
"Yungay",8421,-37.1220156,-72.0131562,"Región de Biobío",12,18234
"Zapallar",5405,-32.5538059,-71.4581359,"Región de Valparaiso",3,6726
