idEla,lat,lng,comuna,fecha
278,\N,\N,Quirihue,2016-06-12 20:00:00
279,\N,\N,Talca,2016-06-19 16:30:00
280,\N,\N,Doñihue,2016-06-18 15:00:00
281,-33.4204856,-70.5687454,Las Condes,2016-06-16 15:30:00
283,\N,\N,Coronel,2016-05-28 17:00:00
287,\N,\N,Las Condes,2016-06-12 14:00:00
289,\N,\N,Providencia,2016-06-11 18:00:00
291,\N,\N,Macul,2016-06-19 12:30:00
293,\N,\N,Peñaflor,2016-06-15 19:30:00
294,\N,\N,Valparaíso,2016-06-03 18:00:00
295,\N,\N,Santiago,2016-06-21 19:00:00
296,\N,\N,Santiago,2016-06-28 09:30:00
297,\N,\N,Osorno,2016-06-18 15:00:00
298,\N,\N,Vallenar,2016-06-23 20:00:00
299,\N,\N,Ñuñoa,2016-06-18 17:39:00
302,-33.005621,-71.2572997,Limache,2016-06-18 16:30:00
303,\N,\N,Coelemu,2016-06-27 14:01:00
304,\N,\N,Valparaíso,2016-06-01 18:30:00
309,\N,\N,La Florida,2016-06-17 19:00:00
310,\N,\N,Romeral,2016-06-28 09:00:00
311,\N,\N,Ñuñoa,2016-06-11 10:00:00
312,\N,\N,Antofagasta,2016-06-24 19:59:00
313,\N,\N,Coyhaique,2016-06-10 17:30:00
315,\N,\N,Las Condes,2016-06-04 14:00:00
317,-33.4153386,-70.7663102,Cerro Navia,2016-05-07 16:00:00
318,\N,\N,Linares,2016-05-19 19:30:00
319,\N,\N,Las Condes,2016-06-17 19:30:00
320,\N,\N,Las Condes,2016-06-27 20:30:00
326,\N,\N,Temuco,2016-06-25 15:00:00
327,\N,\N,Coquimbo,2016-06-27 09:30:00
328,-33.3602148,-70.7296086,Quilicura,2016-05-28 09:30:00
334,-33.5229976,-70.6443586,Santiago,2016-06-23 15:00:00
335,-33.4013472,-70.6297483,Recoleta,2016-06-24 10:00:00
337,-18.4841154,-70.3064098,Arica,2016-06-28 17:10:00
338,-33.5834894,-70.5684581,Puente Alto,2016-05-21 18:00:00
340,-33.5295006,-70.621422,La Granja,2016-05-25 17:30:00
344,-33.4310678,-70.616487,Providencia,2016-06-20 10:00:00
345,\N,\N,Talcahuano,2016-06-18 09:00:00
346,\N,\N,Antofagasta,2016-06-28 18:15:00
347,\N,\N,Providencia,2016-06-28 18:00:00
353,\N,\N,San Pedro de La Paz,2016-06-27 16:30:00
356,-33.4415988,-70.6785859,Santiago,2016-06-25 15:00:00
358,\N,\N,Huechuraba,2016-06-12 17:00:00
361,\N,\N,Santiago,2016-06-22 15:00:00
362,-33.5359455,-70.6213991,La Granja,2016-06-04 16:00:00
363,\N,\N,Coronel,2016-06-22 14:00:00
364,\N,\N,Extranjero,2016-06-11 15:00:00
368,\N,\N,Osorno,2016-06-20 15:00:00
370,-34.9908706,-71.2394183,Curicó,2016-06-20 17:30:00
371,\N,\N,Linares,2016-06-16 18:00:00
372,\N,\N,Providencia,2016-06-18 12:00:00
373,\N,\N,Florida,2016-06-10 14:30:00
374,\N,\N,Santiago,2016-06-14 19:00:00
375,\N,\N,La Florida,2016-06-18 16:30:00
377,-33.547493,-70.5749723,La Florida,2016-06-04 16:00:00
378,\N,\N,Ñuñoa,2016-06-12 15:30:00
379,-32.8447838,-70.6020066,Catemu,2016-06-04 17:30:00
382,\N,\N,Pedro Aguirre Cerda,2016-06-18 15:00:00
383,\N,\N,Providencia,2016-06-18 09:14:00
385,\N,\N,Illapel,2016-06-14 16:00:00
386,\N,\N,Puente Alto,2016-06-07 16:00:00
387,\N,\N,Coronel,2016-06-10 09:30:00
389,\N,\N,Santiago,2016-05-10 10:30:00
390,\N,\N,Las Cabras,2016-06-16 18:30:00
392,\N,\N,Valdivia,2016-06-21 18:30:00
396,\N,\N,Iquique,2016-06-03 17:30:00
401,-31.7800156,-70.9679232,Salamanca,2016-06-04 16:30:00
402,-33.4401807,-70.5653955,La Reina,2016-06-22 15:30:00
404,\N,\N,Santiago,2016-05-22 16:00:00
405,\N,\N,Extranjero,2016-06-04 16:00:00
406,\N,\N,Ñuñoa,2016-06-28 20:00:00
407,\N,\N,Viña del Mar,2016-05-28 16:00:00
408,\N,\N,Las Condes,2016-06-22 08:30:00
409,-53.1636134,-70.9124125,Punta Arenas,2016-06-11 21:25:00
411,\N,\N,La Florida,2016-06-27 17:07:00
412,\N,\N,Providencia,2016-06-17 21:00:00
413,\N,\N,La Reina,2016-06-17 21:00:00
414,\N,\N,Valparaíso,2016-06-21 16:00:00
417,\N,\N,Ñuñoa,2016-05-27 20:00:00
418,-33.4373758,-70.6456286,Santiago,2016-06-24 19:30:00
419,\N,\N,Porvenir,2016-05-22 14:00:00
421,\N,\N,Cerrillos,2016-05-22 17:00:00
422,\N,\N,Ñuñoa,2016-06-04 16:02:00
423,-18.4879975,-70.2970835,Arica,2016-06-11 18:00:00
424,\N,\N,El Tabo,2016-06-01 17:30:00
425,\N,\N,San Bernardo,2016-05-28 10:30:00
426,\N,\N,Lo Barnechea,2016-06-28 21:00:00
428,\N,\N,Ovalle,2016-06-20 15:00:00
430,\N,\N,Isla de Maipo,2016-06-11 16:00:00
434,-33.042046,-71.6242339,Valparaíso,2016-06-17 16:30:00
435,\N,\N,Puente Alto,2016-06-10 10:00:00
440,-33.4706808,-70.5844527,Ñuñoa,2016-05-27 16:00:00
441,-38.7369433,-72.6008461,Temuco,2016-06-02 16:00:00
442,\N,\N,Melipilla,2016-06-16 19:00:00
444,-33.4542219,-70.6670643,Santiago,2016-06-23 18:00:00
446,\N,\N,Iquique,2016-06-10 15:00:00
447,-33.4187867,-70.708742,Quinta Normal,2016-06-20 09:00:00
448,\N,\N,Providencia,2016-06-25 09:30:00
450,-33.5011989,-70.6163268,San Joaquín,2016-06-16 14:00:00
