idEla,lat,lng,comuna,fecha,link,participantes
11947,\N,\N,"Colina","2016-06-21 14:45:00",4271,"F:14,F:16,F:16,F:18,F:18,M:16,M:16,M:16,M:17,M:17,M:18,M:18,M:18,M:18"
11948,\N,\N,"Santiago","2016-06-18 11:00:00",7843,"F:44,F:47,F:50,F:62,M:20,M:20,M:23,M:26,M:34,M:42,M:45,M:48,M:54,M:55"
11949,\N,\N,"La Reina","2016-06-19 17:30:00",11849,"F:23,F:27,F:27,F:30,F:30,F:32,M:26,M:29,M:30,M:31"
11955,\N,\N,"Linares","2016-06-28 18:40:00",15348,"F:27,F:29,F:30,F:33,F:47,F:49,F:52,F:58,F:59,F:62,M:47"
11959,\N,\N,"Zapallar","2016-05-27 22:00:00",3628,"F:22,F:22,F:27,F:37,F:67,M:21,M:24,M:31,M:43,M:60,M:67"
11961,\N,\N,"San Vicente de Tagua Tagua","2016-06-17 17:00:00",10752,"F:48,F:50,F:60,F:64,F:69,M:35,M:39,M:40,M:54,M:70"
11963,\N,\N,"Puente Alto","2016-06-15 16:30:00",10173,"F:23,F:30,F:31,F:34,F:36,F:37,F:38,F:53,F:57,F:62,F:65,F:66,M:38"
11968,-33.4519636,-70.5575936,"Ñuñoa","2016-06-26 17:30:00",13714,"F:38,F:56,F:62,F:64,F:67,F:67,F:67,F:91,F:92,F:93,M:34,M:58,M:60,M:65,M:70,M:87"
11969,\N,\N,"Rancagua","2016-06-11 18:00:00",431,"F:45,F:57,F:69,F:70,M:62,M:66,M:75,M:77,M:77,M:80,M:88"
11973,\N,\N,"Osorno","2016-06-11 16:00:00",1770,"F:48,F:51,F:53,F:53,F:57,F:61,F:61,F:73,F:86,M:46"
11975,\N,\N,"Las Condes","2016-06-17 18:00:00",3531,"F:19,F:20,F:21,F:21,F:22,M:20,M:22,M:22,M:22,M:23"
11976,\N,\N,"Cochrane","2016-06-20 18:00:00",12657,"F:24,F:27,F:29,F:29,F:31,F:32,M:26,M:28,M:31,M:31,M:33"
11977,\N,\N,"Temuco","2016-06-18 16:00:00",10037,"M:29,M:30,M:34,M:34,M:34,M:38,M:40,M:40,M:41,M:41,M:44,M:46,M:49,M:54,M:55,M:60,M:66,M:78"
11980,\N,\N,"La Reina","2016-05-28 17:30:00",3579,"F:18,F:18,F:36,F:36,F:41,F:41,F:57,F:58,F:71,M:19,M:23,M:29,M:36,M:39,M:43,M:58,M:85"
11982,\N,\N,"La Serena","2016-05-26 14:05:00",2483,"F:15,F:15,F:15,F:15,F:15,F:15,F:15,F:16,F:16,F:16,F:16,F:16,F:16,F:16,M:25,M:31"
11983,\N,\N,"Quinta Normal","2016-06-18 09:30:00",11333,"F:27,F:30,F:30,F:30,F:35,F:43,M:27,M:31,M:37,M:44,M:76"
11984,\N,\N,"Concepción","2016-06-28 20:00:00",14093,"F:23,F:37,F:40,F:52,M:21,M:32,M:45,M:49,M:51,M:54,M:55,M:56"
11988,\N,\N,"Temuco","2016-06-23 21:54:00",5725,"F:36,F:53,F:60,F:62,F:68,F:69,F:70,F:73,M:47,M:66"
11989,\N,\N,"Puente Alto","2016-06-19 12:03:00",10540,"F:43,F:49,F:50,F:54,F:57,F:65,M:19,M:24,M:27,M:36"
11990,\N,\N,"Arica","2016-06-02 18:00:00",4410,"F:45,F:51,F:52,F:53,F:54,F:54,F:55,F:59,F:61,F:64,F:64,F:65,F:65,F:66,F:66,F:67,F:71,F:76,F:78,M:47"
11991,\N,\N,"Puente Alto","2016-06-16 11:45:00",9400,"F:15,F:16,F:17,F:17,F:17,F:17,F:18,F:31,M:15,M:15,M:16,M:16,M:16,M:17"
11992,-33.4537172,-70.6022739,"Ñuñoa","2016-06-04 15:00:00",4489,"F:23,F:27,F:32,F:32,F:55,M:23,M:36,M:39,M:39,M:42"
